date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:35:52	40780/40780	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2017:25:50%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html	(from )
21:35:52	67/67	---MC-	200	added ('OK')	text/plain	date:Fri,%2009%20Nov%202018%2016:05:52%20GMT	http://irsfoundation.com/robots.txt		(from )
21:35:52	1655/1655	---M--	200	added ('OK')	image/x-icon	date:Fri,%2009%20Feb%202018%2000:53:06%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/favicon.ico	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/favicon.ico	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:54	29062/29062	---M--	200	added ('OK')	text/css	date:Sat,%2030%20Jul%202016%2006:15:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/font-awesome.min.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:57	144877/144877	---M--	200	added ('OK')	text/css	date:Thu,%2018%20Jan%202018%2019:29:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/bootstrap.min.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:57	1312/1312	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Mar%202018%2020:33:34%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/flaticon.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/flaticon.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:57	2936/2936	---M--	200	added ('OK')	text/css	date:Mon,%2008%20May%202017%2022:42:54%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/owl.carousel.min.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/owl.carousel.min.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:58	6951/6951	---M--	200	added ('OK')	text/css	date:Mon,%2005%20Jun%202017%2008:11:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/magnific-popup.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/magnific-popup.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:58	2505/2505	---M--	200	added ('OK')	text/css	date:Fri,%2011%20Aug%202017%2009:32:12%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/slicknav.min.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/slicknav.min.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:58	4143/4143	---M--	200	added ('OK')	text/css	date:Thu,%2015%20Feb%202018%2021:00:02%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/nice-select.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/nice-select.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:59	3938/3938	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Mar%202018%2022:01:34%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/typography.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/typography.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:35:59	4865/4865	---M--	200	added ('OK')	text/css	date:Sat,%2003%20Mar%202018%2022:01:36%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/default-css.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/default-css.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:00	10968/10968	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2018:01:34%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/responsive.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/responsive.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:02	56201/56201	---M--	200	added ('OK')	text/css	date:Thu,%2016%20Aug%202018%2017:56:50%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/styles.css	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/css/styles.css	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:05	5796/5796	---M--	200	added ('OK')	image/png	date:Thu,%2001%20Mar%202018%2001:37:02%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/logo.png	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/logo.png	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:05	15514/15514	---M--	200	added ('OK')	application/javascript	date:Wed,%2013%20Jan%202016%2012:12:52%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/modernizr-2.8.3.min.js	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/js/vendor/modernizr-2.8.3.min.js	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:05	42272/42272	---M--	200	added ('OK')	text/html	date:Tue,%2013%20Mar%202018%2017:25:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index2.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/index2.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:05	41293/41293	---M--	200	added ('OK')	image/gif	date:Thu,%2001%20Mar%202018%2000:46:16%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/loader.gif	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/loader.gif	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:06	26017/26017	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:38:28%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/about.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/about.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:07	19018/19018	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:40:26%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/service.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/service.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:07	19319/19319	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:42:52%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/service2.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/service2.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:08	28243/28243	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:42:12%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/service-details.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/service-details.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:09	21220/21220	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:38:36%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/blog.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/blog.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:10	26900/26900	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:38:04%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/blog-details.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/blog-details.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:11	22448/22448	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:39:30%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/gallery.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/gallery.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:11	26612/26612	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:43:20%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/team.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/team.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:12	18366/18366	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:43:28%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/team-details.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/team-details.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:12	16063/16063	---M--	200	added ('OK')	text/html	date:Thu,%2012%20Apr%202018%2017:38:54%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/contact.html	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/contact.html	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:15	2324/2324	---M--	200	added ('OK')	image/png	date:Fri,%2002%20Mar%202018%2001:05:48%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/sc-title-btm.png	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/icon/sc-title-btm.png	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:36:51	218792/218792	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Mar%202018%2022:17:34%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img2.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img2.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
21:37:02	311475/311475	---M--	200	added ('OK')	image/jpeg	date:Sat,%2003%20Mar%202018%2022:15:56%20GMT	http://irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img1.jpg	C:/My%20Web%20Sites/hospital%203/irsfoundation.com/tf/html/medytuch-preview/medytuch/assets/img/gallery/glry-img1.jpg	(from http://irsfoundation.com/tf/html/medytuch-preview/medytuch/index.html)
